"Store Sitemap","Store Sitemap"
"Manage Site Maps","Manage Site Maps"
"Add Site Map","Add Site Map"
"Edit Site Map '%s'","Edit Site Map '%s'"
"Name","Name"
"Status","Status"
"Action","Action"
"ID","ID"
"Delete","Delete"
"Change Status","Change Status"
"Site Map Information","Site Map Information"
"General Information","General Information"
"XML Mapping","XML Mapping"
"Categories","Categories"
"General information","General information"
"Recent copied Site Map","Recent copied Site Map"
"Select Site Map","Select Site Map"
"Status","Status"
"Description","Description"
"Enabled","Enabled"
"Disabled","Disabled"
"XML Tags","XML Tags"
"Add New XML Tag","Add New XML Tag"
"Type","Type"
"Attribute Code","Attribute Code"
"Static Value","Static Value"
"Sort Order","Sort Order"
"Delete Tag","Delete Tag"
"Select Type","Select Type"
"Select Attribute Code","Select Attribute Code"
"Product Attribute","Product Attribute"
"Product Link","Product Link"
"Shipping Cost","Shipping Cost"
"Tax","Tax"
"Static Tag","Static Tag"
"Product Categories","Product Categories"
"Root Catalog","Root Catalog"
"Back","Back"
"Reset","Reset"
"Save Site Map","Save Site Map"
"Save And Continue Edit","Save And Continue Edit"
"Store Sitemap","Store Sitemap"
"Sitemap Setting","Sitemap Setting"
"Directcion Page","Directcion Page"
"Left to right","Left to right"
"Right to left","Right to left"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Create Sitemap","Create Sitemap"
"Site Map List","Site Map List"
"There is no site map.","There is no site map."